Occupation,M_workers,F_workers,All_workers,Male Percentage,Female Percentage,Stereotype_Category
"Carpet, floor, and tile installers and finishers",89,1,90,98.88888889,1.111111111,Male-Stereotyped
"Cement masons, concrete finishers, and terrazzo workers",44,0,44,100,0,Male-Stereotyped
Construction laborers,1155,25,1180,97.88135593,2.118644068,Male-Stereotyped
"Paving, surfacing, and tamping equipment operators",10,0,10,100,0,Male-Stereotyped
Pile-driver operators,2,0,2,100,0,Male-Stereotyped
Operating engineers and other construction equipment operators,318,6,324,98.14814815,1.851851852,Male-Stereotyped
"Drywall installers, ceiling tile installers, and tapers",119,2,121,98.34710744,1.652892562,Male-Stereotyped
Electricians,632,19,651,97.08141321,2.91858679,Male-Stereotyped
Glaziers,32,0,32,100,0,Male-Stereotyped
Insulation workers,41,3,44,93.18181818,6.818181818,Male-Stereotyped
"Painters, construction and maintenance",330,14,344,95.93023256,4.069767442,Male-Stereotyped
Paperhangers,0,0,0,#DIV/0!,#DIV/0!,Unknown
"Pipelayers, plumbers, pipefitters, and steamfitters",455,2,457,99.56236324,0.4376367615,Male-Stereotyped
Plasterers and stucco masons,19,1,20,95,5,Male-Stereotyped
Reinforcing iron and rebar workers,9,0,9,100,0,Male-Stereotyped
Roofers,170,2,172,98.8372093,1.162790698,Male-Stereotyped
Sheet metal workers,100,6,106,94.33962264,5.660377358,Male-Stereotyped
Structural iron and steel workers,52,2,54,96.2962963,3.703703704,Male-Stereotyped
Solar photovoltaic installers,8,0,8,100,0,Male-Stereotyped
"Helpers, construction trades",47,0,47,100,0,Male-Stereotyped
Construction and building inspectors,58,9,67,86.56716418,13.43283582,Male-Stereotyped
Elevator installers and repairers,23,0,23,100,0,Male-Stereotyped
Fence erectors,33,0,33,100,0,Male-Stereotyped
Hazardous materials removal workers,35,5,40,87.5,12.5,Male-Stereotyped
Highway maintenance workers,91,0,91,100,0,Male-Stereotyped
Rail-track laying and maintenance equipment operators,9,0,9,100,0,Male-Stereotyped
Septic tank servicers and sewer pipe cleaners,8,0,8,100,0,Male-Stereotyped
Miscellaneous construction and related workers,23,2,25,92,8,Male-Stereotyped
"Derrick, rotary drill, and service unit operators, oil, gas, and mining",27,1,28,96.42857143,3.571428571,Male-Stereotyped
"Earth drillers, except oil and gas",30,0,30,100,0,Male-Stereotyped
"Explosives workers, ordnance handling experts, and blasters",5,0,5,100,0,Male-Stereotyped
Mining machine operators,65,2,67,97.01492537,2.985074627,Male-Stereotyped
"Roof bolters, mining",3,0,3,100,0,Male-Stereotyped
"Roustabouts, oil and gas",7,0,7,100,0,Male-Stereotyped
Helpers--extraction workers,6,0,6,100,0,Male-Stereotyped
Other extraction workers,58,3,61,95.08196721,4.918032787,Male-Stereotyped
MAINTENANCE,4159,143,4302,96.67596467,3.324035332,Male-Stereotyped
"First-line supervisors of mechanics, installers, and repairers",252,18,270,93.33333333,6.666666667,Male-Stereotyped
"Computer, automated teller, and office machine repairers",166,28,194,85.56701031,14.43298969,Male-Stereotyped
Radio and telecommunications equipment installers and repairers,126,13,139,90.64748201,9.352517986,Male-Stereotyped
Avionics technicians,4,0,4,100,0,Male-Stereotyped
"Electric motor, power tool, and related repairers",20,1,21,95.23809524,4.761904762,Male-Stereotyped
"Electrical and electronics installers and repairers, transportation equipment",2,0,2,100,0,Male-Stereotyped
"Electrical and electronics repairers, industrial and utility",17,0,17,100,0,Male-Stereotyped
"Electronic equipment installers and repairers, motor vehicles",17,0,17,100,0,Male-Stereotyped
Electronic home entertainment equipment installers and repairers,28,2,30,93.33333333,6.666666667,Male-Stereotyped
Security and fire alarm systems installers,65,2,67,97.01492537,2.985074627,Male-Stereotyped
Aircraft mechanics and service technicians,125,7,132,94.6969697,5.303030303,Male-Stereotyped
Automotive body and related repairers,118,2,120,98.33333333,1.666666667,Male-Stereotyped
Automotive glass installers and repairers,20,1,21,95.23809524,4.761904762,Male-Stereotyped
Automotive service technicians and mechanics,694,16,710,97.74647887,2.253521127,Male-Stereotyped
Bus and truck mechanics and diesel engine specialists,327,0,327,100,0,Male-Stereotyped
Heavy vehicle and mobile equipment service technicians and mechanics,206,0,206,100,0,Male-Stereotyped
Small engine mechanics,39,0,39,100,0,Male-Stereotyped
"Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers",65,1,66,98.48484848,1.515151515,Male-Stereotyped
Control and valve installers and repairers,23,0,23,100,0,Male-Stereotyped
"Heating, air conditioning, and refrigeration mechanics and installers",337,4,341,98.82697947,1.173020528,Male-Stereotyped
Home appliance repairers,36,0,36,100,0,Male-Stereotyped
Industrial and refractory machinery mechanics,383,11,394,97.20812183,2.791878173,Male-Stereotyped
"Maintenance and repair workers, general",459,10,469,97.86780384,2.132196162,Male-Stereotyped
"Maintenance workers, machinery",30,1,31,96.77419355,3.225806452,Male-Stereotyped
Millwrights,48,1,49,97.95918367,2.040816327,Male-Stereotyped
Electrical power-line installers and repairers,112,0,112,100,0,Male-Stereotyped
Telecommunications line installers and repairers,148,9,157,94.26751592,5.732484076,Male-Stereotyped
Precision instrument and equipment repairers,60,4,64,93.75,6.25,Male-Stereotyped
Wind turbine service technicians,3,0,3,100,0,Male-Stereotyped
"Coin, vending, and amusement machine servicers and repairers",34,4,38,89.47368421,10.52631579,Male-Stereotyped
Commercial divers,1,0,1,100,0,Male-Stereotyped
Locksmiths and safe repairers,12,0,12,100,0,Male-Stereotyped
Manufactured building and mobile home installers,4,1,5,80,20,Male-Stereotyped
Riggers,7,0,7,100,0,Male-Stereotyped
Signal and track switch repairers,9,0,9,100,0,Male-Stereotyped
"Helpers--installation, maintenance, and repair workers",17,0,17,100,0,Male-Stereotyped
"Other installation, maintenance, and repair workers",144,6,150,96,4,Male-Stereotyped
PRODUCTION,5548,2003,7551,73.47371209,26.52628791,Male-Stereotyped
First-line supervisors of production and operating workers,650,133,783,83.01404853,16.98595147,Male-Stereotyped
"Aircraft structure, surfaces, rigging, and systems assemblers",11,4,15,73.33333333,26.66666667,Male-Stereotyped
"Electrical, electronics, and electromechanical assemblers",59,64,123,47.96747967,52.03252033,Gender-Neutral
Engine and other machine assemblers,12,2,14,85.71428571,14.28571429,Male-Stereotyped
Structural metal fabricators and fitters,28,3,31,90.32258065,9.677419355,Male-Stereotyped
Miscellaneous assemblers and fabricators,573,377,950,60.31578947,39.68421053,Male-Stereotyped
Bakers,69,80,149,46.30872483,53.69127517,Gender-Neutral
"Butchers and other meat, poultry, and fish processing workers",187,60,247,75.70850202,24.29149798,Male-Stereotyped
"Food and tobacco roasting, baking, and drying machine operators and tenders",7,1,8,87.5,12.5,Male-Stereotyped
Food batchmakers,25,54,79,31.64556962,68.35443038,Female-Stereotyped
Food cooking machine operators and tenders,5,2,7,71.42857143,28.57142857,Male-Stereotyped
"Food processing workers, all other",82,50,132,62.12121212,37.87878788,Male-Stereotyped
Computer control programmers and operators,81,2,83,97.59036145,2.409638554,Male-Stereotyped
"Extruding and drawing machine setters, operators, and tenders, metal and plastic",7,1,8,87.5,12.5,Male-Stereotyped
"Forging machine setters, operators, and tenders, metal and plastic",6,0,6,100,0,Male-Stereotyped
"Rolling machine setters, operators, and tenders, metal and plastic",12,3,15,80,20,Male-Stereotyped
"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",62,15,77,80.51948052,19.48051948,Male-Stereotyped
"Drilling and boring machine tool setters, operators, and tenders, metal and plastic",5,1,6,83.33333333,16.66666667,Male-Stereotyped
"Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic",39,3,42,92.85714286,7.142857143,Male-Stereotyped
"Lathe and turning machine tool setters, operators, and tenders, metal and plastic",11,1,12,91.66666667,8.333333333,Male-Stereotyped
"Milling and planing machine setters, operators, and tenders, metal and plastic",1,0,1,100,0,Male-Stereotyped
Machinists,320,17,337,94.95548961,5.044510386,Male-Stereotyped
"Metal furnace operators, tenders, pourers, and casters",28,1,29,96.55172414,3.448275862,Male-Stereotyped
"Model makers and patternmakers, metal and plastic",3,3,6,50,50,Gender-Neutral
"Molders and molding machine setters, operators, and tenders, metal and plastic",39,9,48,81.25,18.75,Male-Stereotyped
"Multiple machine tool setters, operators, and tenders, metal and plastic",1,0,1,100,0,Male-Stereotyped
Tool and die makers,49,0,49,100,0,Male-Stereotyped
"Welding, soldering, and brazing workers",545,23,568,95.95070423,4.049295775,Male-Stereotyped
"Heat treating equipment setters, operators, and tenders, metal and plastic",4,0,4,100,0,Male-Stereotyped
"Layout workers, metal and plastic",4,1,5,80,20,Male-Stereotyped
"Plating and coating machine setters, operators, and tenders, metal and plastic",24,0,24,100,0,Male-Stereotyped
"Tool grinders, filers, and sharpeners",7,0,7,100,0,Male-Stereotyped
"Metal workers and plastic workers, all other",278,72,350,79.42857143,20.57142857,Male-Stereotyped
Prepress technicians and workers,12,2,14,85.71428571,14.28571429,Male-Stereotyped
Printing press operators,134,26,160,83.75,16.25,Male-Stereotyped
Print binding and finishing workers,9,6,15,60,40,Male-Stereotyped
Laundry and dry-cleaning workers,53,80,133,39.84962406,60.15037594,Female-Stereotyped
"Pressers, textile, garment, and related materials",9,12,21,42.85714286,57.14285714,Female-Stereotyped
Sewing machine operators,42,105,147,28.57142857,71.42857143,Female-Stereotyped
Shoe and leather workers and repairers,4,1,5,80,20,Male-Stereotyped
Shoe machine operators and tenders,0,1,1,0,100,Female-Stereotyped
"Tailors, dressmakers, and sewers",9,27,36,25,75,Female-Stereotyped
Textile bleaching and dyeing machine operators and tenders,2,0,2,100,0,Male-Stereotyped
"Textile cutting machine setters, operators, and tenders",7,2,9,77.77777778,22.22222222,Male-Stereotyped
"Textile knitting and weaving machine setters, operators, and tenders",3,4,7,42.85714286,57.14285714,Female-Stereotyped
"Textile winding, twisting, and drawing out machine setters, operators, and tenders",5,2,7,71.42857143,28.57142857,Male-Stereotyped
"Extruding and forming machine setters, operators, and tenders, synthetic and glass fibers",0,0,0,#DIV/0!,#DIV/0!,Unknown
Fabric and apparel patternmakers,3,1,4,75,25,Male-Stereotyped
Upholsterers,21,7,28,75,25,Male-Stereotyped
"Textile, apparel, and furnishings workers, all other",12,4,16,75,25,Male-Stereotyped
Cabinetmakers and bench carpenters,38,2,40,95,5,Male-Stereotyped
Furniture finishers,6,0,6,100,0,Male-Stereotyped
"Model makers and patternmakers, wood",0,0,0,#DIV/0!,#DIV/0!,Unknown
"Sawing machine setters, operators, and tenders, wood",22,4,26,84.61538462,15.38461538,Male-Stereotyped
"Woodworking machine setters, operators, and tenders, except sawing",21,1,22,95.45454545,4.545454545,Male-Stereotyped
"Woodworkers, all other",14,3,17,82.35294118,17.64705882,Male-Stereotyped
"Power plant operators, distributors, and dispatchers",34,1,35,97.14285714,2.857142857,Male-Stereotyped
Stationary engineers and boiler operators,81,3,84,96.42857143,3.571428571,Male-Stereotyped
Water and wastewater treatment plant and system operators,79,3,82,96.34146341,3.658536585,Male-Stereotyped
Miscellaneous plant and system operators,33,3,36,91.66666667,8.333333333,Male-Stereotyped
"Chemical processing machine setters, operators, and tenders",57,5,62,91.93548387,8.064516129,Male-Stereotyped
"Crushing, grinding, polishing, mixing, and blending workers",75,7,82,91.46341463,8.536585366,Male-Stereotyped
Cutting workers,41,9,50,82,18,Male-Stereotyped
"Extruding, forming, pressing, and compacting machine setters, operators, and tenders",25,6,31,80.64516129,19.35483871,Male-Stereotyped
"Furnace, kiln, oven, drier, and kettle operators and tenders",5,0,5,100,0,Male-Stereotyped
"Inspectors, testers, sorters, samplers, and weighers",440,260,700,62.85714286,37.14285714,Male-Stereotyped
Jewelers and precious stone and metal workers,11,7,18,61.11111111,38.88888889,Male-Stereotyped
"Medical, dental, and ophthalmic laboratory technicians",44,42,86,51.1627907,48.8372093,Gender-Neutral
Packaging and filling machine operators and tenders,118,120,238,49.57983193,50.42016807,Gender-Neutral
Painting workers,110,18,128,85.9375,14.0625,Male-Stereotyped
Photographic process workers and processing machine operators,12,14,26,46.15384615,53.84615385,Gender-Neutral
Semiconductor processors,1,0,1,100,0,Male-Stereotyped
Adhesive bonding machine operators and tenders,5,4,9,55.55555556,44.44444444,Male-Stereotyped
"Cleaning, washing, and metal pickling equipment operators and tenders",2,1,3,66.66666667,33.33333333,Male-Stereotyped
Cooling and freezing equipment operators and tenders,3,0,3,100,0,Male-Stereotyped
Etchers and engravers,8,4,12,66.66666667,33.33333333,Male-Stereotyped
"Molders, shapers, and casters, except metal and plastic",12,2,14,85.71428571,14.28571429,Male-Stereotyped
"Paper goods machine setters, operators, and tenders",22,5,27,81.48148148,18.51851852,Male-Stereotyped
Tire builders,8,0,8,100,0,Male-Stereotyped
Helpers--production workers,18,7,25,72,28,Male-Stereotyped
"Production workers, all other",643,203,846,76.00472813,23.99527187,Male-Stereotyped
TRANSPORTATION,5998,955,6953,86.26492162,13.73507838,Male-Stereotyped
Supervisors of transportation and material moving workers,153,33,186,82.25806452,17.74193548,Male-Stereotyped
Aircraft pilots and flight engineers,104,9,113,92.03539823,7.96460177,Male-Stereotyped
Air traffic controllers and airfield operations specialists,24,8,32,75,25,Male-Stereotyped
Flight attendants,20,43,63,31.74603175,68.25396825,Female-Stereotyped
"Ambulance drivers and attendants, except emergency medical technicians",14,4,18,77.77777778,22.22222222,Male-Stereotyped
Bus drivers,184,138,322,57.14285714,42.85714286,Male-Stereotyped
Driver/sales workers and truck drivers,2582,105,2687,96.09229624,3.907703759,Male-Stereotyped
Taxi drivers and chauffeurs,216,38,254,85.03937008,14.96062992,Male-Stereotyped
"Motor vehicle operators, all other",18,3,21,85.71428571,14.28571429,Male-Stereotyped
Locomotive engineers and operators,42,2,44,95.45454545,4.545454545,Male-Stereotyped
"Railroad brake, signal, and switch operators",5,0,5,100,0,Male-Stereotyped
Railroad conductors and yardmasters,52,4,56,92.85714286,7.142857143,Male-Stereotyped
"Subway, streetcar, and other rail transportation workers",12,3,15,80,20,Male-Stereotyped
Sailors and marine oilers,9,0,9,100,0,Male-Stereotyped
Ship and boat captains and operators,28,1,29,96.55172414,3.448275862,Male-Stereotyped
Ship engineers,4,1,5,80,20,Male-Stereotyped
Bridge and lock tenders,4,0,4,100,0,Male-Stereotyped
Parking lot attendants,49,8,57,85.96491228,14.03508772,Male-Stereotyped
Automotive and watercraft service attendants,58,5,63,92.06349206,7.936507937,Male-Stereotyped
Transportation inspectors,14,7,21,66.66666667,33.33333333,Male-Stereotyped
"Transportation attendants, except flight attendants",9,8,17,52.94117647,47.05882353,Gender-Neutral
Other transportation workers,35,4,39,89.74358974,10.25641026,Male-Stereotyped
Conveyor operators and tenders,7,0,7,100,0,Male-Stereotyped
Crane and tower operators,71,4,75,94.66666667,5.333333333,Male-Stereotyped
"Dredge, excavating, and loading machine operators",25,0,25,100,0,Male-Stereotyped
Hoist and winch operators,5,0,5,100,0,Male-Stereotyped
Industrial truck and tractor operators,541,37,578,93.59861592,6.401384083,Male-Stereotyped
Cleaners of vehicles and equipment,200,22,222,90.09009009,9.90990991,Male-Stereotyped
"Laborers and freight, stock, and material movers, hand",1214,219,1433,84.71737613,15.28262387,Male-Stereotyped
Machine feeders and offbearers,21,9,30,70,30,Male-Stereotyped
"Packers and packagers, hand",158,227,385,41.03896104,58.96103896,Female-Stereotyped
Pumping station operators,17,1,18,94.44444444,5.555555556,Male-Stereotyped
Refuse and recyclable material collectors,66,6,72,91.66666667,8.333333333,Male-Stereotyped
Mine shuttle car operators,0,0,0,#DIV/0!,#DIV/0!,Unknown
"Tank car, truck, and ship loaders",6,0,6,100,0,Male-Stereotyped
"Material moving workers, all other",32,5,37,86.48648649,13.51351351,Male-Stereotyped
